Date;Description;Emotion_result;Hours;Title;Type;color;Type_number
17/05/2023;We had another extra meeting with Nick. We discussed our deployment of the OOCSI-proto, and discussed some visualizations and future steps for this;5;1;Coach meeting Nick 3;Evaluating;#65a99d;9
22/05/2023;I have created a business presentation for experts. Looking at core values, market oppertunities, target group and finances;4;2;Business presentation;Evaluating;#65a99d;9
15/05/2023;We have started to use our benchmark cards to document data for the project;4;1;Documenting data;Organization;#6588a9;1
13/05/2023;We had a small unorganized meeting on what we would present to mathias;5;1;Meeting;Organization;#6588a9;1
01/04/2023;preparing specifics for the pilot;4;2;preparing of the pilot;Organization;#6588a9;1
10/03/2023;PDP ;4;3;coach session;Organization;#6588a9;1
24/03/2023;;4;4;midterm demo day;Organization;#6588a9;1
15/05/2023;Together we finished the website building of the cards. Some struggles;5;6;Making website benchmark;Prototype Building;#6765a9;6
12/05/2023;We started programming the data collector tool in P5js. We started working in Github too.;5;3;Starting the data collector;Prototype Building;#6765a9;6
09/04/2023;We filled in the MVP to determine what to start collecting data wise;4;1;MVP;Prototype Building;#6765a9;6
21/04/2023;Making the menti for the pilot study;4;3;Making the menti;Prototype Building;#6765a9;6
16/04/2023;For the study/workshop we made a presentation to show. It contains the questions of the workshop.;4;1;Presentation making;Prototype Building;#6765a9;6
07/03/2023;knowledge\ncollaboration\nprototype\nevaluation;4;4;workshop: Short design sessions with observer;Prototype Building;#6765a9;6
08/03/2023;4 lofi concept ;5;4;luke workshop: prototyping everyday AI;Prototype Building;#6765a9;6
22/05/2023;Brainstorming about how to build my prototype. And further 3 moddeling pieces and creating a laser cut file;2;2;Prototype brainstorming;Prototype Building;#6765a9;6
15/05/2023;Sending the signed ERB form to the Ethical Review Board to be approved.;4;0.25;Sending ERB;Testing;#a865a9;7
12/05/2023;Changing the ERB to fit the new set-up of data collection. Making sure that the document is signed and that the PDF is correct. Sending the PDF to Mathias. ;3;1;Signign ERB;Testing;#a865a9;7
10/05/2023;Filling out the ERB for the data collection in the final weeks. ;2;2.5;Making the ERB for the datacollection;Testing;#a865a9;7
10/05/2023;Creating and rewriting the participant informed consent form for the data collection. Proofreading the document to make sure it i correct ;2;1;Participant informed consent form;Testing;#a865a9;7
12/04/2023;Messaging and talking to people I know in order to get them to participate in the final test. ;5;1;Finding participants;Testing;#a865a9;7
02/03/2023;3D prototyping upgrader Lo-fi / hi-fi;5;1;Mouse of clay;Testing;#a865a9;7
02/03/2023;3D prototyping upgrader\nLo-fi / hi-fi;3;3;Mouse of foamboard;Testing;#a865a9;7
02/03/2023;3D prototyping upgrader\nLo-fi / hi-fi;4;4;Mouse of foam;Testing;#a865a9;7
02/03/2023;3D prototyping upgrader\nLo-fi / hi-fi;3;2;Mouse of paper maché;Testing;#a865a9;7
17/05/2023;Discussing our testing method and how we should move on to the next phase, like report writing and demo day;4;2;Update meeting;Testing;#a865a9;7
26/04/2023;We did two sessions of workshops that we designed before.;5;4;Workshop;Validating;#a96586;8
20/04/2023;We discussed with Nick our workshop approach. He looked at our setup and gave some feedback, but overall said it looked okay for what we want to research. Nick highly suggested to do a pilot study.;4;1;Coach meeting Nick 1;Validating;#a96586;8
21/03/2023;;4;4;Visual demonstrator  (our project);Validating;#a96586;8
21/03/2023;;4;4;Technical demonstrator;Validating;#a96586;8
03/04/2023;We discussed the results of our study with Nick. We talked about our next steps. Nick suggested to make an MVP and that it would be a good idea to start tracking different project groups and collect data. He also said we should document the study very well, because the results are interesting.;5;1;Meeting with Nick 2;;;
